Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M11;;BER;2000-01-01;;>=35.0 EN <=100;>=30 EN <35;>=20 EN <30;>=10 EN <20;>=0 EN <10;>=40;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M11;;BER;2000-01-01;;>=65.0 EN <=100;>=40 EN <65;>=20 EN <40;>=8.0 EN <20;>=0 EN <8;>=80;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeO2;Visgilde - zuurstoftolerante soort (O2);NVT;%;NVT;OW;M11;;BER;2000-01-01;;>=20.0 EN <=100;>=10 EN <20;>=3.0 EN <10;>=1 EN <3;>=0 EN <1;>=30;<=0;VISrelMs
MASSFTE;Massafractie;VIS_ABRMBRAM;Abramis brama;NVT;%;NVT;OW;M16;;BER;2000-01-01;;>=0 EN <=15;>15 EN <=25;>25 EN <=45;>45 EN <=60;>60.0 EN <=100;<=5.0;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M16;;BER;2000-01-01;;>=45.0 EN <=100;>=35 EN <45;>=25 EN <35;>=15 EN <25;>=0 EN <15;>=55;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M16;;BER;2000-01-01;;>=30.0 EN <=100;>=15 EN <30;>=8.0 EN <15;>=4 EN <8;>=0 EN <4;>=40;<=0;VISrelMs
MASSFTE;Massafractie;VIS_gildeO2;Visgilde - zuurstoftolerante soort (O2);NVT;%;NVT;OW;M16;;BER;2000-01-01;;>=5.00 EN <=100;>=2 EN <5;>=1 EN <2;>=0.5 EN <1;>=0 EN <0.5;>=10;<=0;VISrelMs
MASSFTE;Massafractie;VIS_ABRMBRAM;Abramis brama;NVT;%;NVT;OW;M17;;BER;2000-01-01;;>=0 EN <=15;>15 EN <=25;>25 EN <=45;>45 EN <=60;>60.0 EN <=100;<=5.0;>=100;VISrelMs
MASSFTE;Massafractie;VIS_groepBB;Visgroep - baars en blankvoorn (BB);NVT;%;NVT;OW;M17;;BER;2000-01-01;;>=45.0 EN <=100;>=35 EN <45;>=25 EN <35;>=15 EN <25;>=0 EN <15;>=55;<=0;VISrelMs_EU
MASSFTE;Massafractie;VIS_gildePm;Visgilde - plantminnende soort (Pm);NVT;%;NVT;OW;M17;;BER;2000-01-01;;>=30.0 EN <=100;>=15 EN <30;>=8.0 EN <15;>=4 EN <8;>=0 EN <4;>=40;<=0;VISrelMs
