"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100100064,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M7b","","GEM","2000-01-01",NA,""
100100065,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M10","","GEM","2000-01-01",NA,""
100100066,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M12","","GEM","2000-01-01",NA,""
100100067,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M14","","GEM","2000-01-01",NA,""
100100068,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M20","","GEM","2000-01-01",NA,""
100100069,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M23","","GEM","2000-01-01",NA,""
100100070,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei9","Fytopl. - bloeisoort (09) Microcystis wesenbergii","NVT","n/ml","cel","OW","M27","","GEM","2000-01-01",NA,""
100100071,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100072,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100073,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
100100074,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M6b","","GEM","2000-01-01",NA,""
100100075,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M7a","","GEM","2000-01-01",NA,""
100100076,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M7b","","GEM","2000-01-01",NA,""
100100077,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M10","","GEM","2000-01-01",NA,""
100100078,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei10","Fytopl. - bloeisoort (10) Scenedesmus soortenarm","NVT","n/ml","cel","OW","M14","","GEM","2000-01-01",NA,""
