"ID_classificatie","bron","klasse","ondergrens","bovengrens","incl_onder","incl_boven"
"100100688","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100689","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100689","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100689","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100689","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100689","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100690","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100690","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100690","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100690","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100690","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100691","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100691","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100691","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100691","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100691","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100692","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100692","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100692","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100692","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100692","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100693","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100693","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100693","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100693","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100693","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100694","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100694","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100694","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100694","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100694","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100695","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100695","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100695","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100695","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100695","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100696","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100696","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100696","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100696","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100696","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100697","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100697","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100697","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100697","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100697","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
"100100698","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Zeer goed",0.8,1,"ja","ja"
"100100698","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Goed",0.6,0.8,"ja","nee"
"100100698","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Matig",0.4,0.6,"ja","nee"
"100100698","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Ontoereikend",0.2,0.4,"ja","nee"
"100100698","KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","Slecht",0,0.2,"ja","nee"
