"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","Waardebewerkingmethode.code","Begindatum","Einddatum","Factor.A","Factor.B","Factor.C","Humuspercentage.laag","Humuspercentage.hoog","Bijzondere.Omstandigheid"
100500060,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C1ymsfrn","methyl-metsulfuron","74223-64-6","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500061,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C1yprmfs","methylpirimifos","29232-93-7","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500062,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Co","kobalt","7440-48-4","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500063,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Mo","molybdeen","7439-98-7","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500064,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","pyrdbn","pyridaben","96489-71-3","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500065,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","pyrpxfn","pyriproxyfen","95737-68-1","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500066,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Se","seleen","7782-49-2","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500067,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Tl","thallium","7440-28-0","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500068,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500069,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","tolcfsC1y","tolclofos-methyl","57018-04-9","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500070,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","tefbzrn","teflubenzuron","83121-18-0","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500071,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500072,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","abmtne","abamectine","71751-41-2","ug/l","NVT","OW","JGM","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500073,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C2yazfs","ethylazinfos","2642-71-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500074,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","C1yazfs","methylazinfos","86-50-0","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500075,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","ClHAc","chloorazijnzuur","79-11-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500076,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","2ClAn","2-chlooraniline","95-51-2","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500077,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","3ClAn","3-chlooraniline","108-42-9","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
100500078,"KRW overig - zoet (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","CONCTTE","(massa)Concentratie","4ClAn","4-chlooraniline","106-47-8","ug/l","NVT","OW","MAX","2000-01-01",NA,NA,NA,NA,NA,NA,""
