"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100300098,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_ABRMBRAM","Abramis brama","NVT","%","NVT","OW","M22",NA,"BER","2000-01-01",NA,"VISrelMs"
100300099,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M22",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300100,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M22",NA,"BER","2000-01-01",NA,"VISrelMs"
100300101,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M22",NA,"BER","2000-01-01",NA,"VISrelMs"
100300102,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_ABRMBRAM","Abramis brama","NVT","%","NVT","OW","M25",NA,"BER","2000-01-01",NA,"VISrelMs"
100300103,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M25",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300104,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M25",NA,"BER","2000-01-01",NA,"VISrelMs"
100300105,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M25",NA,"BER","2000-01-01",NA,"VISrelMs"
100300106,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeEx","Visgilde - exote soort (Ex)","NVT","%","NVT","OW","M26",NA,"BER","2000-01-01",NA,"VISrelMs"
100300107,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M21a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300108,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M21a",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300109,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M21a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300110,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M21a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300111,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M21b",NA,"BER","2000-01-01",NA,"VISrelMs"
